regionName,cityName,barangayName
abra,bangued,agtangao
abra,bangued,angad
abra,bangued,banacao
abra,bangued,bangbangar
abra,bangued,cabuloan
abra,bangued,calaba
abra,bangued,cosili-east
abra,bangued,cosili-west
abra,bangued,dangdangla
abra,bangued,lingtan
abra,bangued,lipcan
abra,bangued,lubong
abra,bangued,macarcarmay
abra,bangued,macray
abra,bangued,malita-1
abra,bangued,maoay
abra,bangued,palao
abra,bangued,patucannay
abra,bangued,sagap
abra,bangued,san-antonio-4
abra,bangued,santa-rosa-2
abra,bangued,sao-atan
abra,bangued,sappaac
abra,bangued,tablac
abra,bangued,zone-1-poblacion
abra,bangued,zone-2-poblacion
abra,bangued,zone-3-poblacion
abra,bangued,zone-4-poblacion
abra,bangued,zone-5-poblacion
abra,bangued,zone-6-poblacion
abra,bangued,zone-7-poblacion
abra,boliney,amti
abra,boliney,bao-yan
abra,boliney,danac-east
abra,boliney,danac-west
abra,boliney,dao-angan
abra,boliney,dumagas
abra,boliney,kilong-olao
abra,boliney,poblacion-1
abra,bucay,abang
abra,bucay,bangbangcag
abra,bucay,bangcagan
abra,bucay,banglolao
abra,bucay,bugbog
abra,bucay,calao
abra,bucay,dugong
abra,bucay,labon
abra,bucay,layugan
abra,bucay,madalipay
abra,bucay,north-poblacion
abra,bucay,pagala
abra,bucay,pakiling
abra,bucay,palaquio
abra,bucay,patoc
abra,bucay,quimloong
abra,bucay,salnec
abra,bucay,san-miguel-7
abra,bucay,siblong
abra,bucay,south-poblacion
abra,bucay,tabiog
abra,bucloc,ducligan
abra,bucloc,labaan
abra,bucloc,lamao
abra,bucloc,lingay
abra,daguioman,ableg
abra,daguioman,cabaruyan
abra,daguioman,pikek
abra,daguioman,tui
abra,danglas,abaquid
abra,danglas,cabaruan
abra,danglas,caupasan
abra,danglas,danglas-1
abra,danglas,nagaparan
abra,danglas,padangitan
abra,danglas,pangal
abra,dolores,bayaan
abra,dolores,cabaroan
abra,dolores,calumbaya
abra,dolores,cardona-1
abra,dolores,isit
abra,dolores,kimmalaba
abra,dolores,libtec
abra,dolores,lub-lubba
abra,dolores,mudiit
abra,dolores,namit-ingan
abra,dolores,pacac
abra,dolores,poblacion-2
abra,dolores,salucag
abra,dolores,talogtog
abra,dolores,taping
abra,la-paz,benben
abra,la-paz,bulbulala
abra,la-paz,buli
abra,la-paz,canan
abra,la-paz,liguis
abra,la-paz,malabbaga
abra,la-paz,mudeng
abra,la-paz,pidipid
abra,la-paz,poblacion-3
abra,la-paz,san-gregorio
abra,la-paz,toon
abra,la-paz,udangan
abra,lacub,bacag
abra,lacub,buneg
abra,lacub,guinguinabang
abra,lacub,lan-ag
abra,lacub,pacoc
abra,lacub,poblacion-4
abra,lagangilang,aguet
abra,lagangilang,bacooc
abra,lagangilang,balais
abra,lagangilang,cayapa
abra,lagangilang,dalaguisen
abra,lagangilang,laang
abra,lagangilang,lagben
abra,lagangilang,laguiben
abra,lagangilang,nagtipulan
abra,lagangilang,nagtupacan
abra,lagangilang,paganao
abra,lagangilang,pawa
abra,lagangilang,poblacion-5
abra,lagangilang,presentar
abra,lagangilang,san-isidro-9
abra,lagangilang,tagodtod
abra,lagangilang,taping-1
abra,lagayan,ba-i
abra,lagayan,collago
abra,lagayan,pang-ot
abra,lagayan,poblacion-6
abra,lagayan,pulot
abra,langiden,baac
abra,langiden,dalayap
abra,langiden,mabungtot
abra,langiden,malapaao
abra,langiden,poblacion-7
abra,langiden,quillat
abra,licuan-baay,bonglo
abra,licuan-baay,bulbulala-1
abra,licuan-baay,cawayan-1
abra,licuan-baay,domenglay
abra,licuan-baay,lenneng
abra,licuan-baay,mapisla
abra,licuan-baay,mogao
abra,licuan-baay,nalbuan
abra,licuan-baay,poblacion-8
abra,licuan-baay,subagan
abra,licuan-baay,tumalip
abra,luba,ampalioc
abra,luba,barit
abra,luba,gayaman
abra,luba,lul-luno
abra,luba,luzong
abra,luba,nagbukel-tuquipa
abra,luba,poblacion-9
abra,luba,sabnangan
abra,malibcong,bayabas-1
abra,malibcong,binasaran
abra,malibcong,buanao
abra,malibcong,dulao
abra,malibcong,duldulao
abra,malibcong,gacab
abra,malibcong,lat-ey
abra,malibcong,malibcong-1
abra,malibcong,mataragan
abra,malibcong,pacgued
abra,malibcong,taripan
abra,malibcong,umnap
abra,manabo,ayyeng
abra,manabo,catacdegan-nuevo
abra,manabo,catacdegan-viejo
abra,manabo,luzong-1
abra,manabo,san-jose-norte
abra,manabo,san-jose-sur
abra,manabo,san-juan-norte
abra,manabo,san-juan-sur
abra,manabo,san-ramon-east
abra,manabo,san-ramon-west
abra,manabo,santo-tomas-6
abra,penarrubia,dumayco
abra,penarrubia,lusuac
abra,penarrubia,malamsit
abra,penarrubia,namarabar
abra,penarrubia,patiao
abra,penarrubia,poblacion-10
abra,penarrubia,riang
