regionName,cityName
abra,bangued
abra,boliney
abra,bucay
abra,bucloc
abra,daguioman
abra,danglas
abra,dolores
abra,la-paz
abra,lacub
abra,lagangilang
abra,lagayan
abra,langiden
abra,licuan-baay
abra,luba
abra,malibcong
abra,manabo
abra,penarrubia
abra,pidigan
abra,pilar
abra,sallapadan
abra,san-isidro-ab
abra,san-juan
abra,san-quintin
abra,tayum
abra,tineg
abra,tubo
abra,villaviciosa
agusan-del-norte,buenavista
agusan-del-norte,butuan
agusan-del-norte,cabadbaran
agusan-del-norte,carmen
agusan-del-norte,jabonga
agusan-del-norte,kitcharao
agusan-del-norte,las-nieves
agusan-del-norte,magallanes
agusan-del-norte,nasipit
agusan-del-norte,remedios-t-romualdez
agusan-del-norte,santiago
agusan-del-norte,tubay
agusan-del-sur,bayugan
agusan-del-sur,esperanza
agusan-del-sur,la-paz-1
agusan-del-sur,loreto
agusan-del-sur,prosperidad
agusan-del-sur,san-francisco
agusan-del-sur,san-luis
agusan-del-sur,sibagat
agusan-del-sur,talacogon
agusan-del-sur,veruela
aklan,altavas
aklan,balete
aklan,bangar
aklan,batan
aklan,buruanga
aklan,ibajay
aklan,kalibo
aklan,lezo
aklan,libacao
aklan,madalag
aklan,makato
aklan,malay
aklan,malinao
aklan,nabas
aklan,new-washington
aklan,numancia
aklan,tangalan
albay,bacacay
albay,camalig
albay,daraga
albay,guinobatan
albay,jovellar
albay,legazpi
albay,libon
albay,ligao
albay,malilipot
albay,malinao-1
albay,manito
albay,oas
albay,pio-duran
albay,polangui
albay,rapu-rapu
albay,santo-domingo
albay,tabaco
albay,tiwi
antique,anini-y
antique,barbaza
antique,belison
antique,bugasong
antique,caluya
antique,culasi
antique,hamtic
antique,laua-an
antique,libertad
antique,pandan
antique,patnongon
antique,san-jose
antique,san-remigio
antique,sebaste
antique,sibalom
antique,tibiao
antique,tobias-fornier
antique,valderrama
apayao,calanasan
apayao,conner
apayao,flora
apayao,kabugao
apayao,luna
apayao,pudtol
apayao,santa-marcela
aurora,baler
aurora,dinalungan
aurora,dingalan
aurora,dipaculao
aurora,maria-aurora
aurora,san-luis-1
basilan,akbar
basilan,al-barka
basilan,hadji-mohammad-ajul
basilan,isabela-1
basilan,lamitan
basilan,lantawan
basilan,maluso
basilan,sumisip
basilan,tipo-tipo
basilan,tuburan
basilan,ungkaya-pukan
bataan,abucay
bataan,bagac
bataan,balanga
bataan,dinalupihan
bataan,hermosa
bataan,limay
bataan,mariveles
bataan,morong
bataan,orani
bataan,orion
bataan,pilar-1
bataan,samal
batangas,agoncillo
batangas,alitagtag
batangas,balayan
batangas,balete-1
batangas,batangas-city
batangas,bauan
batangas,calaca
batangas,calatagan
batangas,calicanto
batangas,cuenca
batangas,ibaan
batangas,laurel
batangas,lemery
batangas,lian
batangas,lipa
batangas,lobo
batangas,mabini
batangas,malvar
batangas,mataas-na-kahoy
batangas,nasugbu
batangas,padre-garcia
batangas,rosario-1
batangas,san-jose-1
batangas,san-juan-1
batangas,san-luis-2
batangas,san-nicolas
batangas,san-pascual
batangas,santa-teresita
batangas,santo-tomas
batangas,taal
batangas,talisay
batangas,tanauan
