regionName,cityName,house-buy,house-rent,apartment-buy,apartment-rent,condominium-buy,condominium-rent
abra,bangued,0,0,0,0,0,0
abra,boliney,0,0,0,0,0,0
abra,bucay,0,0,0,0,0,0
abra,bucloc,0,0,0,0,0,0
abra,daguioman,0,0,0,0,0,0
abra,danglas,0,0,0,0,0,0
abra,dolores,0,0,0,0,0,0
abra,la-paz,0,0,0,0,0,0
abra,lacub,0,0,0,0,0,0
abra,lagangilang,0,0,0,0,1,0
abra,lagayan,0,0,0,0,0,0
abra,langiden,0,0,0,0,0,0
abra,licuan-baay,0,0,0,0,0,0
abra,luba,0,0,0,0,0,0
abra,malibcong,0,0,0,0,0,0
abra,manabo,0,0,0,0,0,0
abra,penarrubia,0,0,0,0,0,0
abra,pidigan,0,0,0,0,0,0
abra,pilar,0,0,0,0,0,0
abra,sallapadan,0,0,0,0,0,0
abra,san-isidro-ab,0,1,0,1,0,0
abra,san-juan,1,0,0,0,0,0
abra,san-quintin,0,0,0,0,0,0
abra,tayum,1,0,0,0,0,0
abra,tineg,0,0,0,0,0,0
abra,tubo,0,0,0,0,0,0
abra,villaviciosa,0,0,0,0,0,0
agusan-del-norte,buenavista,0,0,0,0,0,0
agusan-del-norte,butuan,61,3,2,2,10,0
agusan-del-norte,cabadbaran,2,0,1,0,0,0
agusan-del-norte,carmen,0,0,0,0,0,0
agusan-del-norte,jabonga,0,0,0,0,0,0
agusan-del-norte,kitcharao,0,0,0,0,0,0
agusan-del-norte,las-nieves,0,0,0,0,0,0
agusan-del-norte,magallanes,0,0,0,0,0,0
agusan-del-norte,nasipit,1,0,0,0,0,0
agusan-del-norte,remedios-t-romualdez,0,0,0,0,0,0
agusan-del-norte,santiago,0,0,0,0,0,0
agusan-del-norte,tubay,0,0,0,0,0,0
agusan-del-sur,bayugan,0,0,0,0,0,0
agusan-del-sur,esperanza,0,0,0,0,0,0
agusan-del-sur,la-paz-1,0,0,0,0,0,0
agusan-del-sur,loreto,0,0,0,0,0,0
agusan-del-sur,prosperidad,0,0,0,0,0,0
agusan-del-sur,san-francisco,0,0,1,0,0,0
agusan-del-sur,san-luis,0,0,0,0,0,0
agusan-del-sur,sibagat,0,0,0,0,0,0
agusan-del-sur,talacogon,0,0,0,0,0,0
agusan-del-sur,veruela,0,0,0,0,0,0
aklan,altavas,0,0,0,0,0,0
aklan,balete,0,0,0,0,0,0
aklan,bangar,0,0,0,0,0,0
aklan,batan,0,0,0,0,0,0
aklan,buruanga,0,0,0,0,0,0
aklan,ibajay,0,0,0,0,0,0
aklan,kalibo,3,0,1,0,0,0
aklan,lezo,0,0,0,0,0,0
aklan,libacao,0,0,0,0,0,0
aklan,madalag,0,0,0,0,0,0
aklan,makato,0,0,0,0,0,0
aklan,malay,30,0,20,4,45,1
aklan,malinao,0,0,0,0,0,0
aklan,nabas,3,0,0,0,0,0
aklan,new-washington,0,0,0,0,0,0
aklan,numancia,11,0,0,0,0,0
aklan,tangalan,0,0,0,0,0,0
albay,bacacay,0,0,0,0,0,0
albay,camalig,0,0,0,0,0,0
albay,daraga,4,0,0,0,0,0
albay,guinobatan,0,0,0,0,0,0
albay,jovellar,0,0,0,0,0,0
albay,legazpi,11,2,1,0,0,0
albay,libon,0,0,0,1,0,0
albay,ligao,0,0,0,0,0,0
albay,malilipot,0,0,0,0,0,0
albay,malinao-1,2,0,0,0,0,0
albay,manito,0,0,0,0,0,0
albay,oas,1,0,0,0,0,0
albay,pio-duran,0,0,0,0,0,0
albay,polangui,0,0,0,0,0,0
albay,rapu-rapu,1,0,0,0,0,0
albay,santo-domingo,0,0,0,0,0,0
albay,tabaco,0,1,0,0,0,0
albay,tiwi,0,0,0,0,0,0
antique,anini-y,0,0,0,0,0,0
antique,barbaza,0,0,0,0,0,0
antique,belison,0,0,0,0,0,0
antique,bugasong,0,0,0,0,0,0
antique,caluya,0,0,0,0,0,0
antique,culasi,1,0,0,0,0,0
antique,hamtic,0,0,0,0,0,0
antique,laua-an,0,0,0,0,0,0
antique,libertad,0,0,0,0,0,0
antique,pandan,1,0,0,0,0,0
antique,patnongon,0,0,0,0,0,0
antique,san-jose,1,0,0,0,0,0
antique,san-remigio,0,0,0,0,0,0
antique,sebaste,0,0,0,0,0,0
antique,sibalom,0,0,0,0,0,0
antique,tibiao,0,0,0,0,0,0
antique,tobias-fornier,0,0,0,0,0,0
antique,valderrama,0,0,0,0,0,0
apayao,calanasan,1,0,0,0,0,0
apayao,conner,0,0,0,0,0,0
apayao,flora,0,0,0,0,0,0
apayao,kabugao,0,0,0,0,0,0
apayao,luna,0,0,0,0,0,0
apayao,pudtol,0,0,0,0,0,0
apayao,santa-marcela,0,0,0,0,0,0
aurora,baler,1,0,0,0,0,0
aurora,dinalungan,0,0,0,0,0,0
aurora,dingalan,0,0,0,0,0,0
aurora,dipaculao,0,0,0,0,0,0
aurora,maria-aurora,0,0,0,0,0,0
aurora,san-luis-1,1,0,0,0,0,0
basilan,akbar,0,0,0,0,0,0
basilan,al-barka,0,0,0,0,0,0
basilan,hadji-mohammad-ajul,0,0,0,0,0,0
basilan,isabela-1,0,0,0,0,0,0
basilan,lamitan,0,0,0,0,0,0
basilan,lantawan,0,0,0,0,0,0
basilan,maluso,0,0,0,0,0,0
basilan,sumisip,0,0,0,0,0,0
basilan,tipo-tipo,0,0,0,0,0,0
basilan,tuburan,0,0,0,0,0,0
basilan,ungkaya-pukan,0,0,0,0,0,0
bataan,abucay,7,0,0,0,0,0
bataan,bagac,2,1,0,0,0,0
bataan,balanga,79,2,1,0,2,0
bataan,dinalupihan,14,1,0,0,0,0
bataan,hermosa,13,0,0,0,0,0
bataan,limay,47,0,0,0,0,0
bataan,mariveles,19,0,1,1,21,0
bataan,morong,35,7,0,0,6,1
bataan,orani,4,0,0,0,0,0
bataan,orion,10,0,1,0,0,0
bataan,pilar-1,3,0,1,0,0,0
bataan,samal,2,0,0,0,0,0
batangas,agoncillo,0,1,0,0,0,0
batangas,alitagtag,0,0,0,0,0,0
