"Origin Movement ID","Origin Display Name","Origin Geometry","Destination Movement ID","Destination Display Name","Destination Geometry","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"183","SANTA INES, 003107 (183)","[[-74.081141,4.595074],[-74.081746,4.595449],[-74.082115,4.595525],[-74.083179,4.595845],[-74.08379,4.596374],[-74.084658,4.59707],[-74.083526,4.598515],[-74.08289,4.599411],[-74.080491,4.602836],[-74.077543,4.600879],[-74.077549,4.600872],[-74.078029,4.600097],[-74.081141,4.595074]]","4","PALO BLANCO, 005501 (4)","[[-74.093533,4.681014],[-74.094808,4.682092],[-74.095354,4.682562],[-74.095665,4.682823],[-74.096303,4.683263],[-74.096859,4.683649],[-74.097302,4.683956],[-74.096618,4.684936],[-74.095443,4.686623],[-74.095248,4.686923],[-74.094984,4.687278],[-74.094907,4.687208],[-74.09484,4.687148],[-74.094443,4.686757],[-74.094299,4.686623],[-74.092986,4.685366],[-74.091565,4.683993],[-74.091532,4.683958],[-74.091628,4.683811],[-74.092802,4.682119],[-74.093533,4.681014]]","07/30/2016 - 08/27/2016, Every day, Daily Average",2296,1639,3215
"183","SANTA INES, 003107 (183)","[[-74.081141,4.595074],[-74.081746,4.595449],[-74.082115,4.595525],[-74.083179,4.595845],[-74.08379,4.596374],[-74.084658,4.59707],[-74.083526,4.598515],[-74.08289,4.599411],[-74.080491,4.602836],[-74.077543,4.600879],[-74.077549,4.600872],[-74.078029,4.600097],[-74.081141,4.595074]]","6","BANCO CENTRAL, 007208 (6)","[[-74.071786,4.642472],[-74.071543,4.64383],[-74.071324,4.645022],[-74.070783,4.644933],[-74.06864,4.644572],[-74.068763,4.64389],[-74.069049,4.642338],[-74.069207,4.641423],[-74.0693,4.640912],[-74.069478,4.639934],[-74.070016,4.640015],[-74.070783,4.640148],[-74.072157,4.640386],[-74.07198,4.641424],[-74.071786,4.642472]]","07/30/2016 - 08/27/2016, Every day, Daily Average",1619,1057,2478
"183","SANTA INES, 003107 (183)","[[-74.081141,4.595074],[-74.081746,4.595449],[-74.082115,4.595525],[-74.083179,4.595845],[-74.08379,4.596374],[-74.084658,4.59707],[-74.083526,4.598515],[-74.08289,4.599411],[-74.080491,4.602836],[-74.077543,4.600879],[-74.077549,4.600872],[-74.078029,4.600097],[-74.081141,4.595074]]","8","LA ESTANZUELA, 004104 (8)","[[-74.091623,4.597399],[-74.091398,4.598253],[-74.091158,4.598221],[-74.090114,4.599106],[-74.089392,4.600185],[-74.091507,4.601713],[-74.089542,4.604735],[-74.08878,4.604139],[-74.08891,4.603932],[-74.087474,4.602997],[-74.086225,4.602183],[-74.086573,4.601652],[-74.085825,4.601043],[-74.083669,4.599682],[-74.083558,4.599842],[-74.08289,4.599411],[-74.083526,4.598515],[-74.084658,4.59707],[-74.091623,4.597399]]","07/30/2016 - 08/27/2016, Every day, Daily Average",159,75,334
"183","SANTA INES, 003107 (183)","[[-74.081141,4.595074],[-74.081746,4.595449],[-74.082115,4.595525],[-74.083179,4.595845],[-74.08379,4.596374],[-74.084658,4.59707],[-74.083526,4.598515],[-74.08289,4.599411],[-74.080491,4.602836],[-74.077543,4.600879],[-74.077549,4.600872],[-74.078029,4.600097],[-74.081141,4.595074]]","9","LAS NIEVES, 003102 (9)","[[-74.073802,4.60692],[-74.073202,4.60801],[-74.071932,4.610071],[-74.071521,4.610795],[-74.070861,4.612044],[-74.069864,4.611498],[-74.06986,4.611406],[-74.069816,4.611238],[-74.069665,4.611018],[-74.06953,4.610858],[-74.06939,4.610734],[-74.069159,4.610519],[-74.06894,4.610367],[-74.068563,4.610139],[-74.068484,4.610092],[-74.06769,4.609604],[-74.066335,4.608804],[-74.06614,4.608744],[-74.06632,4.608517],[-74.06632,4.608376],[-74.066347,4.608202],[-74.066407,4.60786],[-74.066434,4.607751],[-74.066472,4.607681],[-74.066494,4.607621],[-74.066502,4.607459],[-74.06646,4.606977],[-74.066444,4.6067],[-74.06645,4.606527],[-74.066865,4.605911],[-74.066769,4.605849],[-74.066963,4.605581],[-74.067123,4.605245],[-74.067456,4.604634],[-74.068158,4.603328],[-74.068262,4.603119],[-74.072092,4.605806],[-74.073462,4.606696],[-74.073802,4.60692]]","07/30/2016 - 08/27/2016, Every day, Daily Average",754,423,1342
"183","SANTA INES, 003107 (183)","[[-74.081141,4.595074],[-74.081746,4.595449],[-74.082115,4.595525],[-74.083179,4.595845],[-74.08379,4.596374],[-74.084658,4.59707],[-74.083526,4.598515],[-74.08289,4.599411],[-74.080491,4.602836],[-74.077543,4.600879],[-74.077549,4.600872],[-74.078029,4.600097],[-74.081141,4.595074]]","11","BARCELONA SUR, 001424 (11)","[[-74.102284,4.567164],[-74.102104,4.566895],[-74.101888,4.56661],[-74.101822,4.566525],[-74.101842,4.566506],[-74.102141,4.566246],[-74.10244,4.565987],[-74.102379,4.565878],[-74.102668,4.565647],[-74.10243,4.565388],[-74.102614,4.565198],[-74.102682,4.565167],[-74.103297,4.564623],[-74.103623,4.564391],[-74.103707,4.564312],[-74.104572,4.563579],[-74.104938,4.563308],[-74.105127,4.563163],[-74.105277,4.563031],[-74.105527,4.562828],[-74.105649,4.562987],[-74.105624,4.56301],[-74.105776,4.563174],[-74.105807,4.563207],[-74.105843,4.563244],[-74.105848,4.56325],[-74.10586,4.56327],[-74.10592,4.563377],[-74.105954,4.563437],[-74.105996,4.563513],[-74.106051,4.563612],[-74.106079,4.56367],[-74.106143,4.563814],[-74.106141,4.563814],[-74.106137,4.563816],[-74.106137,4.563818],[-74.106137,4.563832],[-74.10613,4.563835],[-74.106082,4.563857],[-74.106076,4.56386],[-74.106069,4.563863],[-74.10603,4.563873],[-74.106013,4.563878],[-74.105965,4.56389],[-74.105905,4.563911],[-74.105883,4.563919],[-74.10586,4.563928],[-74.105856,4.563929],[-74.105847,4.563932],[-74.105802,4.563948],[-74.105752,4.563965],[-74.105706,4.563985],[-74.105704,4.563986],[-74.105703,4.563986],[-74.10565,4.564002],[-74.105596,4.564023],[-74.105545,4.564045],[-74.105479,4.564076],[-74.105462,4.564084],[-74.105282,4.564174],[-74.105277,4.564176],[-74.105277,4.564176],[-74.105275,4.564177],[-74.105093,4.564267],[-74.10491,4.564358],[-74.104879,4.564377],[-74.104785,4.564433],[-74.104698,4.564486],[-74.104623,4.564542],[-74.104558,4.564591],[-74.104451,4.564681],[-74.104397,4.564734],[-74.104358,4.564772],[-74.104337,4.564785],[-74.104336,4.564786],[-74.104414,4.564874],[-74.104285,4.565003],[-74.103736,4.565603],[-74.103273,4.566158],[-74.103162,4.56629],[-74.10301,4.566358],[-74.102928,4.566449],[-74.10294,4.566585],[-74.102474,4.567038],[-74.10245,4.567006],[-74.102315,4.56713],[-74.102284,4.567164]]","07/30/2016 - 08/27/2016, Every day, Daily Average",738,506,1076
"183","SANTA INES, 003107 (183)","[[-74.081141,4.595074],[-74.081746,4.595449],[-74.082115,4.595525],[-74.083179,4.595845],[-74.08379,4.596374],[-74.084658,4.59707],[-74.083526,4.598515],[-74.08289,4.599411],[-74.080491,4.602836],[-74.077543,4.600879],[-74.077549,4.600872],[-74.078029,4.600097],[-74.081141,4.595074]]","12","LA CAPUCHINA, 003108 (12)","[[-74.078091,4.606167],[-74.077551,4.606927],[-74.076642,4.608107],[-74.076344,4.608556],[-74.076204,4.608785],[-74.075628,4.608394],[-74.075182,4.608064],[-74.074311,4.607437],[-74.074389,4.607305],[-74.073802,4.60692],[-74.074098,4.606399],[-74.075605,4.603889],[-74.076659,4.602119],[-74.076862,4.601778],[-74.077543,4.600879],[-74.080491,4.602836],[-74.079882,4.603646],[-74.078091,4.606167]]","07/30/2016 - 08/27/2016, Every day, Daily Average",282,124,639
"183","SANTA INES, 003107 (183)","[[-74.081141,4.595074],[-74.081746,4.595449],[-74.082115,4.595525],[-74.083179,4.595845],[-74.08379,4.596374],[-74.084658,4.59707],[-74.083526,4.598515],[-74.08289,4.599411],[-74.080491,4.602836],[-74.077543,4.600879],[-74.077549,4.600872],[-74.078029,4.600097],[-74.081141,4.595074]]","13","SAN JOAQUIN, 005509 (13)","[[-74.098399,4.674047],[-74.10053,4.675537],[-74.101998,4.676592],[-74.102492,4.676902],[-74.102,4.677583],[-74.101624,4.678108],[-74.101148,4.678775],[-74.100652,4.679472],[-74.100253,4.68002],[-74.099906,4.680457],[-74.099549,4.680872],[-74.099397,4.681054],[-74.098819,4.680576],[-74.097801,4.67966],[-74.097714,4.679571],[-74.09756,4.679787],[-74.096389,4.67877],[-74.095581,4.678086],[-74.095944,4.677568],[-74.096624,4.676596],[-74.097678,4.675082],[-74.098222,4.674301],[-74.098399,4.674047]]","07/30/2016 - 08/27/2016, Every day, Daily Average",2243,1597,3149
"183","SANTA INES, 003107 (183)","[[-74.081141,4.595074],[-74.081746,4.595449],[-74.082115,4.595525],[-74.083179,4.595845],[-74.08379,4.596374],[-74.084658,4.59707],[-74.083526,4.598515],[-74.08289,4.599411],[-74.080491,4.602836],[-74.077543,4.600879],[-74.077549,4.600872],[-74.078029,4.600097],[-74.081141,4.595074]]","14","BOLIVIA, 005622 (14)","[[-74.115138,4.713216],[-74.11676,4.715544],[-74.117707,4.716846],[-74.117917,4.717157],[-74.116917,4.717841],[-74.115972,4.719515],[-74.115418,4.720524],[-74.115302,4.720454],[-74.113951,4.719683],[-74.11113,4.7215],[-74.110669,4.721206],[-74.110668,4.721205],[-74.110517,4.721108],[-74.110353,4.720972],[-74.110487,4.720866],[-74.110928,4.72054],[-74.111017,4.720438],[-74.11219,4.718351],[-74.11234,4.7181],[-74.113003,4.716894],[-74.113083,4.716937],[-74.114099,4.715097],[-74.114543,4.714295],[-74.114638,4.714122],[-74.115138,4.713216]]","07/30/2016 - 08/27/2016, Every day, Daily Average",2871,1988,4144
"183","SANTA INES, 003107 (183)","[[-74.081141,4.595074],[-74.081746,4.595449],[-74.082115,4.595525],[-74.083179,4.595845],[-74.08379,4.596374],[-74.084658,4.59707],[-74.083526,4.598515],[-74.08289,4.599411],[-74.080491,4.602836],[-74.077543,4.600879],[-74.077549,4.600872],[-74.078029,4.600097],[-74.081141,4.595074]]","23","QUINTA RAMOS, 001206 (23)","[[-74.088142,4.577244],[-74.088219,4.577304],[-74.088304,4.577378],[-74.088379,4.577419],[-74.088517,4.577488],[-74.088671,4.577564],[-74.088781,4.577608],[-74.088925,4.577679],[-74.089026,4.577713],[-74.089129,4.577769],[-74.089207,4.57781],[-74.089267,4.577868],[-74.089308,4.577918],[-74.089354,4.57799],[-74.089383,4.578056],[-74.089399,4.578123],[-74.089411,4.578229],[-74.089406,4.578312],[-74.089383,4.578404],[-74.089363,4.578465],[-74.089351,4.578527],[-74.089338,4.578598],[-74.089335,4.578653],[-74.089335,4.57872],[-74.089365,4.578789],[-74.089393,4.57884],[-74.089429,4.578895],[-74.089461,4.578936],[-74.089514,4.578975],[-74.089569,4.579024],[-74.089601,4.579051],[-74.089642,4.579058],[-74.089647,4.57906],[-74.089582,4.579196],[-74.089483,4.579365],[-74.089371,4.579556],[-74.089275,4.579704],[-74.089271,4.579709],[-74.089207,4.579785],[-74.089142,4.579861],[-74.089076,4.579935],[-74.089008,4.580008],[-74.08894,4.58008],[-74.08887,4.580151],[-74.088798,4.58022],[-74.088726,4.580288],[-74.088652,4.580355],[-74.088577,4.580421],[-74.088501,4.580485],[-74.088424,4.580548],[-74.088346,4.58061],[-74.088267,4.58067],[-74.088187,4.580729],[-74.086725,4.578901],[-74.086831,4.578724],[-74.086972,4.578505],[-74.087094,4.578293],[-74.087146,4.578212],[-74.087211,4.578119],[-74.087307,4.578009],[-74.087701,4.577621],[-74.087984,4.577357],[-74.088076,4.577276],[-74.088142,4.577244]]","07/30/2016 - 08/27/2016, Every day, Daily Average",437,276,690
"183","SANTA INES, 003107 (183)","[[-74.081141,4.595074],[-74.081746,4.595449],[-74.082115,4.595525],[-74.083179,4.595845],[-74.08379,4.596374],[-74.084658,4.59707],[-74.083526,4.598515],[-74.08289,4.599411],[-74.080491,4.602836],[-74.077543,4.600879],[-74.077549,4.600872],[-74.078029,4.600097],[-74.081141,4.595074]]","29","CHAPINERO OCCIDENTAL, 007203 (29)","[[-74.06864,4.644572],[-74.068401,4.645943],[-74.06825,4.646767],[-74.06808,4.647659],[-74.067913,4.648498],[-74.0678,4.64915],[-74.067609,4.650141],[-74.064648,4.649607],[-74.0653,4.645943],[-74.065646,4.644037],[-74.06611,4.641423],[-74.06623,4.640669],[-74.066512,4.640833],[-74.06705,4.641146],[-74.067529,4.641423],[-74.069049,4.642338],[-74.068763,4.64389],[-74.06864,4.644572]]","07/30/2016 - 08/27/2016, Every day, Daily Average",1443,912,2282
