"Origin Movement ID","Origin Display Name","Origin Geometry","Destination Movement ID","Destination Display Name","Destination Geometry","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1116","Harborwalk, Waterfront, Boston","[[-71.062911,42.361229],[-71.061856,42.36243],[-71.058261,42.363697],[-71.057757,42.363616],[-71.056105,42.362402],[-71.05542,42.361957],[-71.054925,42.362046],[-71.053826,42.363303],[-71.052111,42.363676],[-71.051647,42.36311],[-71.0512,42.363712],[-71.05109,42.364175],[-71.046389,42.363935],[-71.045918,42.361164],[-71.0455,42.359825],[-71.045566,42.359733],[-71.049595,42.354497],[-71.05106,42.355131],[-71.050851,42.356671],[-71.052158,42.358666],[-71.053518,42.358356],[-71.055759,42.356913],[-71.05771,42.356777],[-71.058737,42.356988],[-71.05829,42.35741],[-71.06151,42.358336],[-71.062642,42.357977],[-71.062875,42.359483],[-71.062911,42.361229]]","3","0 Flaherty Way, D Street / West Broadway, Boston","[[-71.05624,42.338869],[-71.053928,42.340791],[-71.052377,42.339803],[-71.05084,42.338795],[-71.052405,42.337488],[-71.05389,42.33624],[-71.057112,42.338333],[-71.05624,42.338869]]","07/31/2016 - 08/28/2016, Every day, Daily Average",616,389,974
"1116","Harborwalk, Waterfront, Boston","[[-71.062911,42.361229],[-71.061856,42.36243],[-71.058261,42.363697],[-71.057757,42.363616],[-71.056105,42.362402],[-71.05542,42.361957],[-71.054925,42.362046],[-71.053826,42.363303],[-71.052111,42.363676],[-71.051647,42.36311],[-71.0512,42.363712],[-71.05109,42.364175],[-71.046389,42.363935],[-71.045918,42.361164],[-71.0455,42.359825],[-71.045566,42.359733],[-71.049595,42.354497],[-71.05106,42.355131],[-71.050851,42.356671],[-71.052158,42.358666],[-71.053518,42.358356],[-71.055759,42.356913],[-71.05771,42.356777],[-71.058737,42.356988],[-71.05829,42.35741],[-71.06151,42.358336],[-71.062642,42.357977],[-71.062875,42.359483],[-71.062911,42.361229]]","4","0 Moulton Street, Lynn","[[-70.975099,42.465575],[-70.974412,42.465617],[-70.974598,42.469519],[-70.973631,42.46961],[-70.971199,42.469933],[-70.97008,42.470963],[-70.969369,42.471004],[-70.964943,42.473278],[-70.962856,42.471408],[-70.962773,42.467505],[-70.964118,42.466542],[-70.965926,42.466359],[-70.968231,42.466234],[-70.9696,42.465422],[-70.97021,42.465172],[-70.972676,42.464352],[-70.974034,42.464027],[-70.974841,42.463887],[-70.975099,42.465575]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1437,1149,1796
"1116","Harborwalk, Waterfront, Boston","[[-71.062911,42.361229],[-71.061856,42.36243],[-71.058261,42.363697],[-71.057757,42.363616],[-71.056105,42.362402],[-71.05542,42.361957],[-71.054925,42.362046],[-71.053826,42.363303],[-71.052111,42.363676],[-71.051647,42.36311],[-71.0512,42.363712],[-71.05109,42.364175],[-71.046389,42.363935],[-71.045918,42.361164],[-71.0455,42.359825],[-71.045566,42.359733],[-71.049595,42.354497],[-71.05106,42.355131],[-71.050851,42.356671],[-71.052158,42.358666],[-71.053518,42.358356],[-71.055759,42.356913],[-71.05771,42.356777],[-71.058737,42.356988],[-71.05829,42.35741],[-71.06151,42.358336],[-71.062642,42.357977],[-71.062875,42.359483],[-71.062911,42.361229]]","5","0 Queensberry Street, Fenway/Kenmore, Boston","[[-71.097412,42.343694],[-71.094644,42.344549],[-71.094611,42.34294],[-71.096493,42.341843],[-71.097412,42.343694]]","07/31/2016 - 08/28/2016, Every day, Daily Average",773,502,1189
"1116","Harborwalk, Waterfront, Boston","[[-71.062911,42.361229],[-71.061856,42.36243],[-71.058261,42.363697],[-71.057757,42.363616],[-71.056105,42.362402],[-71.05542,42.361957],[-71.054925,42.362046],[-71.053826,42.363303],[-71.052111,42.363676],[-71.051647,42.36311],[-71.0512,42.363712],[-71.05109,42.364175],[-71.046389,42.363935],[-71.045918,42.361164],[-71.0455,42.359825],[-71.045566,42.359733],[-71.049595,42.354497],[-71.05106,42.355131],[-71.050851,42.356671],[-71.052158,42.358666],[-71.053518,42.358356],[-71.055759,42.356913],[-71.05771,42.356777],[-71.058737,42.356988],[-71.05829,42.35741],[-71.06151,42.358336],[-71.062642,42.357977],[-71.062875,42.359483],[-71.062911,42.361229]]","13","200 Liberty Street, Braintree","[[-70.99429,42.21109],[-70.98957,42.21242],[-70.985748,42.21563],[-70.98257,42.21889],[-70.9819,42.21921],[-70.97994,42.21964],[-70.97778,42.22049],[-70.97716,42.22062],[-70.97475,42.22086],[-70.973786,42.221896],[-70.970858,42.221498],[-70.969129,42.221379],[-70.96809,42.221519],[-70.967684,42.220662],[-70.969071,42.217412],[-70.969457,42.214923],[-70.971719,42.199877],[-70.98485,42.20321],[-70.99203,42.20527],[-70.994535,42.206942],[-70.993899,42.207382],[-70.995291,42.210957],[-70.99429,42.21109]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1262,940,1693
"1116","Harborwalk, Waterfront, Boston","[[-71.062911,42.361229],[-71.061856,42.36243],[-71.058261,42.363697],[-71.057757,42.363616],[-71.056105,42.362402],[-71.05542,42.361957],[-71.054925,42.362046],[-71.053826,42.363303],[-71.052111,42.363676],[-71.051647,42.36311],[-71.0512,42.363712],[-71.05109,42.364175],[-71.046389,42.363935],[-71.045918,42.361164],[-71.0455,42.359825],[-71.045566,42.359733],[-71.049595,42.354497],[-71.05106,42.355131],[-71.050851,42.356671],[-71.052158,42.358666],[-71.053518,42.358356],[-71.055759,42.356913],[-71.05771,42.356777],[-71.058737,42.356988],[-71.05829,42.35741],[-71.06151,42.358336],[-71.062642,42.357977],[-71.062875,42.359483],[-71.062911,42.361229]]","14","400 Cushing Street, Hingham","[[-70.923324,42.167936],[-70.921149,42.18104],[-70.920936,42.182178],[-70.919199,42.193629],[-70.917388,42.206101],[-70.91719,42.208801],[-70.916765,42.210095],[-70.916269,42.214974],[-70.913602,42.214625],[-70.911885,42.21335],[-70.91179,42.211455],[-70.906254,42.208565],[-70.901431,42.202961],[-70.899776,42.202038],[-70.892118,42.204213],[-70.883954,42.205217],[-70.877441,42.204996],[-70.872277,42.202533],[-70.869123,42.202899],[-70.870155,42.205839],[-70.869234,42.20928],[-70.871684,42.213665],[-70.871521,42.215851],[-70.869708,42.219181],[-70.873747,42.222711],[-70.871454,42.227728],[-70.873191,42.233612],[-70.872223,42.234622],[-70.870486,42.236642],[-70.866255,42.237269],[-70.862616,42.239117],[-70.859104,42.242744],[-70.85934,42.243166],[-70.844664,42.242271],[-70.85338,42.239607],[-70.8408,42.213118],[-70.827048,42.200771],[-70.838791,42.194807],[-70.852165,42.190462],[-70.861437,42.186353],[-70.870248,42.182471],[-70.887603,42.173335],[-70.890291,42.171736],[-70.893516,42.169814],[-70.912889,42.162256],[-70.913749,42.16192],[-70.924877,42.15758],[-70.923324,42.167936]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1713,1224,2396
"1116","Harborwalk, Waterfront, Boston","[[-71.062911,42.361229],[-71.061856,42.36243],[-71.058261,42.363697],[-71.057757,42.363616],[-71.056105,42.362402],[-71.05542,42.361957],[-71.054925,42.362046],[-71.053826,42.363303],[-71.052111,42.363676],[-71.051647,42.36311],[-71.0512,42.363712],[-71.05109,42.364175],[-71.046389,42.363935],[-71.045918,42.361164],[-71.0455,42.359825],[-71.045566,42.359733],[-71.049595,42.354497],[-71.05106,42.355131],[-71.050851,42.356671],[-71.052158,42.358666],[-71.053518,42.358356],[-71.055759,42.356913],[-71.05771,42.356777],[-71.058737,42.356988],[-71.05829,42.35741],[-71.06151,42.358336],[-71.062642,42.357977],[-71.062875,42.359483],[-71.062911,42.361229]]","16","100 Kenrick Street, Oak Square, Boston","[[-71.174708,42.350155],[-71.169702,42.349411],[-71.168111,42.350663],[-71.167605,42.350604],[-71.165392,42.350272],[-71.163333,42.349115],[-71.163093,42.349041],[-71.162138,42.348989],[-71.160437,42.348916],[-71.161311,42.347576],[-71.162118,42.346373],[-71.165999,42.341593],[-71.166126,42.340088],[-71.166699,42.340009],[-71.170003,42.344252],[-71.171898,42.346655],[-71.174265,42.349584],[-71.174708,42.350155]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1469,1102,1956
"1116","Harborwalk, Waterfront, Boston","[[-71.062911,42.361229],[-71.061856,42.36243],[-71.058261,42.363697],[-71.057757,42.363616],[-71.056105,42.362402],[-71.05542,42.361957],[-71.054925,42.362046],[-71.053826,42.363303],[-71.052111,42.363676],[-71.051647,42.36311],[-71.0512,42.363712],[-71.05109,42.364175],[-71.046389,42.363935],[-71.045918,42.361164],[-71.0455,42.359825],[-71.045566,42.359733],[-71.049595,42.354497],[-71.05106,42.355131],[-71.050851,42.356671],[-71.052158,42.358666],[-71.053518,42.358356],[-71.055759,42.356913],[-71.05771,42.356777],[-71.058737,42.356988],[-71.05829,42.35741],[-71.06151,42.358336],[-71.062642,42.357977],[-71.062875,42.359483],[-71.062911,42.361229]]","17","0 Maggi Road, Revere","[[-71.010812,42.42451],[-71.008935,42.425912],[-71.003725,42.422308],[-70.99924,42.428347],[-70.997234,42.431051],[-70.992023,42.434135],[-70.99012,42.434877],[-70.983708,42.431663],[-70.987938,42.426036],[-70.990699,42.422302],[-70.993495,42.418615],[-71.000172,42.409624],[-71.000706,42.409406],[-71.002152,42.410533],[-71.003847,42.414953],[-71.003378,42.41656],[-71.004744,42.415956],[-71.008379,42.416113],[-71.00791,42.416755],[-71.005873,42.419516],[-71.010549,42.42142],[-71.013867,42.422384],[-71.010812,42.42451]]","07/31/2016 - 08/28/2016, Every day, Daily Average",894,593,1347
"1116","Harborwalk, Waterfront, Boston","[[-71.062911,42.361229],[-71.061856,42.36243],[-71.058261,42.363697],[-71.057757,42.363616],[-71.056105,42.362402],[-71.05542,42.361957],[-71.054925,42.362046],[-71.053826,42.363303],[-71.052111,42.363676],[-71.051647,42.36311],[-71.0512,42.363712],[-71.05109,42.364175],[-71.046389,42.363935],[-71.045918,42.361164],[-71.0455,42.359825],[-71.045566,42.359733],[-71.049595,42.354497],[-71.05106,42.355131],[-71.050851,42.356671],[-71.052158,42.358666],[-71.053518,42.358356],[-71.055759,42.356913],[-71.05771,42.356777],[-71.058737,42.356988],[-71.05829,42.35741],[-71.06151,42.358336],[-71.062642,42.357977],[-71.062875,42.359483],[-71.062911,42.361229]]","18","0 Lake Street, Billerica","[[-71.306745,42.522689],[-71.30516,42.525936],[-71.30461,42.529285],[-71.304383,42.529767],[-71.299443,42.534874],[-71.296763,42.536728],[-71.295982,42.541545],[-71.291056,42.545492],[-71.287233,42.547896],[-71.283667,42.543333],[-71.283466,42.543007],[-71.281858,42.547459],[-71.280717,42.548134],[-71.278842,42.549036],[-71.275499,42.548844],[-71.274035,42.549864],[-71.271578,42.553454],[-71.265806,42.55507],[-71.262545,42.549983],[-71.260276,42.548475],[-71.256984,42.54803],[-71.256283,42.547734],[-71.252489,42.542546],[-71.252485,42.540079],[-71.250904,42.535817],[-71.249207,42.532729],[-71.248761,42.530226],[-71.248973,42.526351],[-71.24949,42.525244],[-71.250142,42.52573],[-71.25249,42.524078],[-71.254572,42.522593],[-71.256396,42.523992],[-71.265803,42.524373],[-71.277149,42.526538],[-71.280832,42.526408],[-71.283478,42.525674],[-71.303974,42.519931],[-71.306565,42.520562],[-71.306745,42.522689]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1645,1298,2084
"1116","Harborwalk, Waterfront, Boston","[[-71.062911,42.361229],[-71.061856,42.36243],[-71.058261,42.363697],[-71.057757,42.363616],[-71.056105,42.362402],[-71.05542,42.361957],[-71.054925,42.362046],[-71.053826,42.363303],[-71.052111,42.363676],[-71.051647,42.36311],[-71.0512,42.363712],[-71.05109,42.364175],[-71.046389,42.363935],[-71.045918,42.361164],[-71.0455,42.359825],[-71.045566,42.359733],[-71.049595,42.354497],[-71.05106,42.355131],[-71.050851,42.356671],[-71.052158,42.358666],[-71.053518,42.358356],[-71.055759,42.356913],[-71.05771,42.356777],[-71.058737,42.356988],[-71.05829,42.35741],[-71.06151,42.358336],[-71.062642,42.357977],[-71.062875,42.359483],[-71.062911,42.361229]]","19","200 Ocean Street, Lynn","[[-70.941729,42.464736],[-70.939825,42.46568],[-70.938822,42.466156],[-70.937838,42.466611],[-70.934472,42.468199],[-70.934051,42.467077],[-70.932913,42.465398],[-70.929886,42.463542],[-70.928479,42.462],[-70.926792,42.461827],[-70.927713,42.460892],[-70.934993,42.457896],[-70.935003,42.457821],[-70.935121,42.457877],[-70.934549,42.45883],[-70.936536,42.460707],[-70.937279,42.461574],[-70.938707,42.463105],[-70.940159,42.463334],[-70.940802,42.464288],[-70.941729,42.464736]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1535,1185,1987
"1116","Harborwalk, Waterfront, Boston","[[-71.062911,42.361229],[-71.061856,42.36243],[-71.058261,42.363697],[-71.057757,42.363616],[-71.056105,42.362402],[-71.05542,42.361957],[-71.054925,42.362046],[-71.053826,42.363303],[-71.052111,42.363676],[-71.051647,42.36311],[-71.0512,42.363712],[-71.05109,42.364175],[-71.046389,42.363935],[-71.045918,42.361164],[-71.0455,42.359825],[-71.045566,42.359733],[-71.049595,42.354497],[-71.05106,42.355131],[-71.050851,42.356671],[-71.052158,42.358666],[-71.053518,42.358356],[-71.055759,42.356913],[-71.05771,42.356777],[-71.058737,42.356988],[-71.05829,42.35741],[-71.06151,42.358336],[-71.062642,42.357977],[-71.062875,42.359483],[-71.062911,42.361229]]","20","0 Florence Street, Everett","[[-71.047584,42.405383],[-71.046189,42.408406],[-71.043795,42.408279],[-71.041674,42.407792],[-71.04003,42.407189],[-71.0376,42.406288],[-71.038415,42.404976],[-71.039053,42.404243],[-71.040887,42.401749],[-71.041505,42.401657],[-71.047629,42.402393],[-71.047455,42.403342],[-71.048201,42.404095],[-71.047584,42.405383]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1051,716,1542
