"Origin Movement ID","Origin Display Name","Origin Geometry","Destination Movement ID","Destination Display Name","Destination Geometry","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","5","300 Younger Street, 132 Zone 11, Manila","[[120.96425065147635,14.629335940778429],[120.96542455152738,14.626439775268329],[120.96858014585688,14.626134917273019],[120.97056189265368,14.628726313390866],[120.96938794800131,14.63162252804203],[120.96623230114983,14.631927297435563],[120.96425065147635,14.629335940778429]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2465,1703,3567
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","6","100 Pag-asa Street, Tondo, Manila","[[120.96938794800131,14.63162252804203],[120.97056189265368,14.628726313390866],[120.9737176649626,14.6284214200204],[120.97569954513312,14.63101282995114],[120.9745255558968,14.63390909365472],[120.9713697310686,14.634213898445935],[120.96938794800131,14.63162252804203]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1927,1356,2737
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","8","0 A. Bonifacio Avenue, La Loma, Quezon City","[[120.9891320899784,14.635280798175126],[120.99030619677109,14.632384273012951],[120.99346262827805,14.632079149468797],[120.99544500535512,14.63467063964358],[120.99427085403752,14.637567213870017],[120.99111437016069,14.637872248997718],[120.9891320899784,14.635280798175126]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1796,1148,2809
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","9","100 Sct M Alcaraz, Quezon City","[[121.00374091211047,14.63665178989192],[121.00491513633105,14.633755003306407],[121.00807204865174,14.633449684945484],[121.01005478924914,14.636041241537862],[121.0088805205489,14.638938077149055],[121.00572355572723,14.639243307143465],[121.00374091211047,14.63665178989192]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2376,1650,3421
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","10","0 Caragay, San Francisco del Monte, Quezon City","[[121.0088805205489,14.638938077149055],[121.01005478924914,14.636041241537862],[121.01321187927458,14.635735887641564],[121.01519475309598,14.638327457632153],[121.01402043993173,14.641224342249876],[121.0108632974064,14.641529607871748],[121.0088805205489,14.638938077149055]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2553,1748,3728
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","11","0 Times, Lungsod Quezon","[[121.02863323628009,14.642594362748945],[121.02980766664966,14.639697216959537],[121.03296541479435,14.639391632484022],[121.03494878491608,14.641983281910656],[121.03377431014347,14.644880476648803],[121.03061650965014,14.645185972943322],[121.02863323628009,14.642594362748945]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2660,1760,4019
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","12","Mayaman, Diliman, Lungsod Quezon","[[121.04839023400645,14.646249653058682],[121.0495648258086,14.643352197292586],[121.05272323146782,14.64304638178655],[121.05470709772324,14.64563811035966],[121.05353246150914,14.648535615011454],[121.05037400351786,14.648841342210941],[121.04839023400645,14.646249653058682]]","07/31/2016 - 08/28/2016, Every day, Daily Average",3275,2156,4972
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","13","Regidor Street, Diliman, Quezon City","[[121.06815151035408,14.649903945868179],[121.06932626335002,14.647006180396701],[121.07248532597971,14.646700133761792],[121.0744696879303,14.649291940823064],[121.07329489065343,14.652189755127555],[121.07013577569985,14.652495713678134],[121.06815151035408,14.649903945868179]]","07/31/2016 - 08/28/2016, Every day, Daily Average",3500,2508,4883
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","18","0 Ditchoy, Marikina","[[121.09768147729633,14.621980260079432],[121.09885641140198,14.61908123909061],[121.10201629509727,14.618774237733888],[121.10400129698778,14.6213663452123],[121.10282631869704,14.624265415050342],[121.09966638269718,14.624572328562026],[121.09768147729633,14.621980260079432]]","07/31/2016 - 08/28/2016, Every day, Daily Average",4720,3247,6859
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","31","Rosal, Manila","[[121.03954442379205,14.488366055388788],[121.04071866615176,14.485465043768484],[121.04387603208161,14.485156474499854],[121.04585920809869,14.487749005388375],[121.04468492139058,14.490650066407412],[121.04152750300673,14.49095854727966],[121.03954442379205,14.488366055388788]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2444,1681,3552
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","36","Victor Medina, Parañaque","[[120.9870588796048,14.490702636564375],[120.98823271360206,14.487802733842738],[120.99138838827584,14.48749499206572],[120.9933702812969,14.490087241540305],[120.99219640278777,14.492987193777662],[120.98904067576575,14.493294847025966],[120.9870588796048,14.490702636564375]]","07/31/2016 - 08/28/2016, Every day, Daily Average",3209,2237,4601
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","47","Access Road, Parañaque","[[120.98272952478713,14.493909995068384],[120.98390333035917,14.491010254863413],[120.9870588796048,14.490702636564375],[120.98904067576575,14.493294847025966],[120.98786682566801,14.496194636746974],[120.98471122393302,14.49650216642202],[120.98272952478713,14.493909995068384]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2614,1810,3774
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","51","Tramo, Manila","[[120.98786682566801,14.496194636746974],[120.98904067576575,14.493294847025966],[120.99219640278777,14.492987193777662],[120.9941783321984,14.495579418713922],[120.99300443759054,14.498479257931779],[120.98984865808019,14.498786822648198],[120.98786682566801,14.496194636746974]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2652,1691,4159
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","52","Access Road, Parañaque","[[120.98353740225875,14.499401793599292],[120.98471122393302,14.49650216642202],[120.98786682566801,14.496194636746974],[120.98984865808019,14.498786822648198],[120.98867479188367,14.50168649925306],[120.98551913772371,14.501993940525194],[120.98353740225875,14.499401793599292]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2415,1678,3474
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","58","100 Ninoy Aquino Avenue, Sto Nino, Parañaque","[[120.99300443759054,14.498479257931779],[120.9941783321984,14.495579418713922],[120.99733423696178,14.4952717304908],[120.99931629959923,14.497863969996157],[120.99814236049863,14.500763858622093],[120.99498640324965,14.50107145833585],[120.99300443759054,14.498479257931779]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2892,2048,4082
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","59","400 Courtyard Mall, Quirino Avenue, Parañaque","[[120.98867479188367,14.50168649925306],[120.98984865808019,14.498786822648198],[120.99300443759054,14.498479257931779],[120.99498640324965,14.50107145833585],[120.99381249254313,14.503971184488279],[120.99065666068209,14.504278660759907],[120.98867479188367,14.50168649925306]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2580,1797,3702
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","60","Enrique M Factor Road, Parañaque","[[120.98434529994726,14.504893454628846],[120.98551913772371,14.501993940525194],[120.98867479188367,14.50168649925306],[120.99065666068209,14.504278660759907],[120.98948277831363,14.50717822433668],[120.9863270718049,14.507485576939931],[120.98434529994726,14.504893454628846]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2420,1711,3421
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","68","12th Street, Parañaque","[[120.99381249254313,14.503971184488279],[120.99498640324965,14.50107145833585],[120.99814236049863,14.500763858622093],[121.00012445938363,14.503356073553865],[120.99895050418611,14.5062558490955],[120.99579449458922,14.506563360386998],[120.99381249254313,14.503971184488279]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2996,2036,4406
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","69","Juan Gabriel, Parañaque","[[120.98948277831363,14.50717822433668],[120.99065666068209,14.504278660759907],[120.99381249254313,14.503971184488279],[120.99579449458922,14.506563360386998],[120.99462056778403,14.509462973428068],[120.99146468343562,14.509770361112563],[120.98948277831363,14.50717822433668]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2528,1617,3950
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","70","0 Luzon Avenue, Parañaque","[[120.98515321792625,14.510384977924057],[120.9863270718049,14.507485576939931],[120.98948277831363,14.50717822433668],[120.99146468343562,14.509770361112563],[120.99029078503658,14.512669811556119],[120.9871350261038,14.512977075701219],[120.98515321792625,14.510384977924057]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2337,1676,3257
"378","1100 Perez Street, Paco, Manila","[[120.98618950630247,14.582680285017354],[120.98736349657027,14.579782570970288],[120.99051958153547,14.579476527553796],[120.99250172859087,14.58206828672179],[120.99132769379617,14.584966050002524],[120.98817155646933,14.585272004882865],[120.98618950630247,14.582680285017354]]","80","Ninoy Aquino Avenue, Parañaque","[[120.99895050418611,14.5062558490955],[121.00012445938363,14.503356073553865],[121.00328059433623,14.50304843881721],[121.0052628264311,14.505640668092761],[121.00408882675485,14.508540493143585],[121.00093263945712,14.50884803948051],[120.99895050418611,14.5062558490955]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2860,2008,4072
