"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"9","Arc de triomphe du Carrousel, Paris","1","0 Rue du Jour, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",446,229,866
"9","Arc de triomphe du Carrousel, Paris","2","0 Rue du Louvre, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",291,159,529
"9","Arc de triomphe du Carrousel, Paris","3","Impasse des 3 Visages, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",180,97,331
"9","Arc de triomphe du Carrousel, Paris","4","0 Rue des Bourdonnais, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",169,67,422
"9","Arc de triomphe du Carrousel, Paris","5","0 Quai des Orfèvres, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",426,204,889
"9","Arc de triomphe du Carrousel, Paris","6","0 Rue de l'Arbre Sec, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",95,46,196
"9","Arc de triomphe du Carrousel, Paris","7","0 Rue Radziwill, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",342,203,575
"9","Arc de triomphe du Carrousel, Paris","8","100 Rue Berger, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",382,192,758
"9","Arc de triomphe du Carrousel, Paris","10","0 Rue Jean-Jacques Rousseau, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",241,113,512
"9","Arc de triomphe du Carrousel, Paris","11","0 Quai de l'Horloge, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",80,25,253
"9","Arc de triomphe du Carrousel, Paris","12","Allée Centrale, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",82,36,186
"9","Arc de triomphe du Carrousel, Paris","13","0 Rue de Richelieu, Paris-1ER-Arrondissement","09/03/2016 - 10/01/2016, Every day, Daily Average",130,52,322
"9","Arc de triomphe du Carrousel, Paris","14","0 Rue des Lombards, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",326,183,578
"9","Arc de triomphe du Carrousel, Paris","15","0 Rue Cambon, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",268,148,485
"9","Arc de triomphe du Carrousel, Paris","16","0 Rue de Mondovi, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",128,68,240
"9","Arc de triomphe du Carrousel, Paris","17","100 Rue Saint Honoré, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",84,30,234
"9","Arc de triomphe du Carrousel, Paris","18","0 Rue Mandar, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",404,212,767
"9","Arc de triomphe du Carrousel, Paris","19","0 Rue du Mail, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",408,241,690
"9","Arc de triomphe du Carrousel, Paris","20","0 Rue Saint-Fiacre, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",484,305,767
"9","Arc de triomphe du Carrousel, Paris","21","0 Rue Marie Stuart, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",545,322,922
"9","Arc de triomphe du Carrousel, Paris","22","0 Rue Saint-Sauveur, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",628,383,1027
"9","Arc de triomphe du Carrousel, Paris","23","0 Rue Thorel, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",638,392,1037
"9","Arc de triomphe du Carrousel, Paris","24","0 Rue Vivienne, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",361,206,630
"9","Arc de triomphe du Carrousel, Paris","25","0 Rue Vivienne, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",457,284,734
"9","Arc de triomphe du Carrousel, Paris","26","0 Rue de Choiseul, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",393,245,627
"9","Arc de triomphe du Carrousel, Paris","27","0 Rue Monsigny, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",250,151,412
"9","Arc de triomphe du Carrousel, Paris","28","0 Passage du Caire, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",604,397,917
"9","Arc de triomphe du Carrousel, Paris","29","0 Rue de Mulhouse, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",517,321,831
"9","Arc de triomphe du Carrousel, Paris","30","0 Rue de la Paix, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",278,168,457
"9","Arc de triomphe du Carrousel, Paris","31","0 Passage Lemoine, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",563,326,970
"9","Arc de triomphe du Carrousel, Paris","32","0 Rue au Maire, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",650,403,1047
"9","Arc de triomphe du Carrousel, Paris","33","0 Rue Béranger, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",738,466,1166
"9","Arc de triomphe du Carrousel, Paris","34","0 Rue de Thorigny, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",754,468,1212
"9","Arc de triomphe du Carrousel, Paris","35","100 Rue du Temple, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",672,413,1091
"9","Arc de triomphe du Carrousel, Paris","36","0 Rue Quincampoix, Paris-3E-Arrondissement","09/03/2016 - 10/01/2016, Every day, Daily Average",361,216,602
"9","Arc de triomphe du Carrousel, Paris","37","0 Rue Portefoin, Paris-3E-Arrondissement","09/03/2016 - 10/01/2016, Every day, Daily Average",704,453,1092
"9","Arc de triomphe du Carrousel, Paris","38","0 Rue Notre Dame de Nazareth, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",754,475,1195
"9","Arc de triomphe du Carrousel, Paris","39","0 Rue Saint-Claude, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",952,615,1472
"9","Arc de triomphe du Carrousel, Paris","40","0 Rue des Filles du Calvaire, Paris","09/03/2016 - 10/01/2016, Every day, Daily Average",858,557,1319
