"Origin Movement ID","Origin Display Name","Origin Geometry","Destination Movement ID","Destination Display Name","Destination Geometry","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1844","Sydney - Haymarket - The Rocks (1844)","[[151.20528,-33.86874],[151.20604,-33.86868],[151.20631,-33.87084],[151.20553,-33.87088],[151.20528,-33.86874]]","1349","Baulkham Hills (East) (1349)","[[150.98016,-33.75661],[150.98118,-33.75797],[150.9815,-33.75987],[150.98151,-33.76267],[150.98113,-33.76267],[150.98163,-33.76571],[150.98338,-33.76782],[150.98396,-33.76812],[150.98303,-33.76922],[150.98314,-33.76983],[150.98424,-33.76966],[150.985,-33.76988],[150.98551,-33.77036],[150.98593,-33.77139],[150.98211,-33.77234],[150.9754,-33.773],[150.97536,-33.77255],[150.97225,-33.77242],[150.97245,-33.77094],[150.97306,-33.77039],[150.97407,-33.76747],[150.97379,-33.76552],[150.97393,-33.76475],[150.97364,-33.7627],[150.97583,-33.76183],[150.97289,-33.76121],[150.96885,-33.76082],[150.96638,-33.76001],[150.9667,-33.75972],[150.96857,-33.7602],[150.96867,-33.75982],[150.969,-33.75956],[150.96957,-33.75973],[150.97069,-33.75928],[150.97084,-33.75884],[150.97164,-33.75889],[150.97154,-33.75848],[150.97218,-33.75843],[150.97228,-33.75823],[150.97333,-33.75828],[150.97363,-33.75847],[150.97392,-33.75785],[150.97406,-33.75788],[150.97418,-33.75656],[150.97442,-33.75685],[150.97635,-33.75733],[150.97645,-33.75683],[150.97812,-33.75707],[150.97893,-33.7568],[150.97965,-33.7569],[150.98016,-33.75661]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1833,1431,2347
"1844","Sydney - Haymarket - The Rocks (1844)","[[151.20528,-33.86874],[151.20604,-33.86868],[151.20631,-33.87084],[151.20553,-33.87088],[151.20528,-33.86874]]","1350","Baulkham Hills (East) (1350)","[[150.98151,-33.76267],[150.98712,-33.76256],[150.99063,-33.76287],[150.99203,-33.7624],[150.99239,-33.76295],[150.99258,-33.76286],[150.99276,-33.76331],[150.99321,-33.76335],[150.99323,-33.76305],[150.99386,-33.76266],[150.99599,-33.76466],[150.99784,-33.76711],[150.99876,-33.76805],[150.98593,-33.77139],[150.98551,-33.77036],[150.985,-33.76988],[150.98424,-33.76966],[150.98314,-33.76983],[150.98303,-33.76922],[150.98396,-33.76812],[150.98338,-33.76782],[150.98163,-33.76571],[150.98113,-33.76267],[150.98151,-33.76267]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1782,1374,2310
"1844","Sydney - Haymarket - The Rocks (1844)","[[151.20528,-33.86874],[151.20604,-33.86868],[151.20631,-33.87084],[151.20553,-33.87088],[151.20528,-33.86874]]","1351","Baulkham Hills (East) (1351)","[[150.99015,-33.75916],[150.98964,-33.75809],[150.98956,-33.75655],[150.98972,-33.75567],[150.99005,-33.75554],[150.99139,-33.75403],[150.99417,-33.75058],[150.99415,-33.75262],[150.99632,-33.75435],[150.9997,-33.75627],[151.00062,-33.75517],[151.00336,-33.7567],[151.00369,-33.75629],[151.00548,-33.75737],[151.00647,-33.75729],[151.00734,-33.75748],[151.0074,-33.75781],[151.00754,-33.75751],[151.00783,-33.75771],[151.00869,-33.75781],[151.00885,-33.75827],[151.01011,-33.75893],[151.01039,-33.75939],[151.01016,-33.75979],[151.00995,-33.76083],[151.0092,-33.76201],[151.00941,-33.76316],[151.00929,-33.76402],[151.00888,-33.7648],[151.0082,-33.76549],[151.00616,-33.76599],[151.00545,-33.76648],[151.00517,-33.76695],[150.99861,-33.76787],[150.99784,-33.76711],[150.99599,-33.76466],[150.99434,-33.76309],[150.99503,-33.76226],[150.99435,-33.76188],[150.99495,-33.76111],[150.99446,-33.76084],[150.99462,-33.76063],[150.9945,-33.76046],[150.99446,-33.75953],[150.99369,-33.75955],[150.99355,-33.75712],[150.99243,-33.75715],[150.9928,-33.75834],[150.99134,-33.75836],[150.99015,-33.75916]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1784,1341,2373
"1844","Sydney - Haymarket - The Rocks (1844)","[[151.20528,-33.86874],[151.20604,-33.86868],[151.20631,-33.87084],[151.20553,-33.87088],[151.20528,-33.86874]]","1353","Baulkham Hills (East) (1353)","[[150.9914,-33.76266],[150.99094,-33.76218],[150.99155,-33.76166],[150.99112,-33.76119],[150.99162,-33.76063],[150.99015,-33.75916],[150.99134,-33.75836],[150.9928,-33.75834],[150.99243,-33.75715],[150.99355,-33.75712],[150.99369,-33.75955],[150.99446,-33.75953],[150.9945,-33.76046],[150.99462,-33.76063],[150.99446,-33.76084],[150.99495,-33.76111],[150.99435,-33.76188],[150.99503,-33.76226],[150.99434,-33.76309],[150.99386,-33.76266],[150.99323,-33.76305],[150.99321,-33.76335],[150.99276,-33.76331],[150.99258,-33.76286],[150.99239,-33.76295],[150.99203,-33.7624],[150.9914,-33.76266]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1906,1553,2339
"1844","Sydney - Haymarket - The Rocks (1844)","[[151.20528,-33.86874],[151.20604,-33.86868],[151.20631,-33.87084],[151.20553,-33.87088],[151.20528,-33.86874]]","1357","Baulkham Hills (West) - Bella Vista (1357)","[[150.9562,-33.7573],[150.95862,-33.75413],[150.95942,-33.7539],[150.96026,-33.75422],[150.96287,-33.74928],[150.96732,-33.74784],[150.9667,-33.7498],[150.96647,-33.7499],[150.96646,-33.75036],[150.96589,-33.75153],[150.96634,-33.75188],[150.9661,-33.75246],[150.96601,-33.75327],[150.96545,-33.75338],[150.96568,-33.75417],[150.96529,-33.75425],[150.96543,-33.75474],[150.96497,-33.75484],[150.96511,-33.75532],[150.96498,-33.7556],[150.96438,-33.7561],[150.96497,-33.75673],[150.96456,-33.757],[150.96531,-33.75797],[150.96589,-33.75953],[150.96636,-33.75999],[150.96594,-33.76052],[150.96575,-33.76254],[150.96585,-33.76303],[150.9647,-33.76356],[150.96408,-33.76432],[150.96324,-33.76439],[150.96375,-33.76525],[150.96369,-33.76556],[150.96304,-33.76533],[150.96161,-33.76358],[150.96079,-33.76224],[150.95934,-33.76068],[150.95761,-33.7584],[150.9562,-33.7573]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1974,1560,2497
"1844","Sydney - Haymarket - The Rocks (1844)","[[151.20528,-33.86874],[151.20604,-33.86868],[151.20631,-33.87084],[151.20553,-33.87088],[151.20528,-33.86874]]","1359","Baulkham Hills (West) - Bella Vista (1359)","[[150.96432,-33.74454],[150.96453,-33.74512],[150.96538,-33.74585],[150.96618,-33.74557],[150.9669,-33.74591],[150.96749,-33.74689],[150.96647,-33.7472],[150.96688,-33.74798],[150.96287,-33.74928],[150.96026,-33.75422],[150.95942,-33.7539],[150.95862,-33.75413],[150.95566,-33.75796],[150.95549,-33.75813],[150.95523,-33.75802],[150.95297,-33.75423],[150.95049,-33.74919],[150.95662,-33.74728],[150.95706,-33.74842],[150.958,-33.7481],[150.95739,-33.74662],[150.95932,-33.74597],[150.95991,-33.74592],[150.96008,-33.74519],[150.96062,-33.74511],[150.96279,-33.74395],[150.96358,-33.74475],[150.96432,-33.74454]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2108,1602,2772
"1844","Sydney - Haymarket - The Rocks (1844)","[[151.20528,-33.86874],[151.20604,-33.86868],[151.20631,-33.87084],[151.20553,-33.87088],[151.20528,-33.86874]]","1361","Baulkham Hills (West) - Bella Vista (1361)","[[150.95555,-33.73739],[150.95542,-33.73988],[150.95553,-33.74079],[150.95609,-33.74223],[150.95733,-33.74393],[150.95745,-33.74435],[150.95649,-33.74449],[150.95663,-33.74538],[150.95609,-33.74606],[150.95609,-33.74744],[150.95049,-33.74919],[150.94867,-33.74463],[150.94728,-33.74153],[150.94687,-33.74095],[150.9471,-33.74093],[150.94981,-33.73895],[150.9503,-33.73876],[150.95032,-33.73859],[150.95049,-33.73864],[150.9515,-33.73806],[150.95281,-33.73765],[150.95555,-33.73739]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2118,1692,2650
"1844","Sydney - Haymarket - The Rocks (1844)","[[151.20528,-33.86874],[151.20604,-33.86868],[151.20631,-33.87084],[151.20553,-33.87088],[151.20528,-33.86874]]","1365","Baulkham Hills (West) - Bella Vista (1365)","[[150.95664,-33.73266],[150.9565,-33.73273],[150.9563,-33.73385],[150.95635,-33.73477],[150.95616,-33.73572],[150.95555,-33.73739],[150.95281,-33.73765],[150.9515,-33.73806],[150.95049,-33.73864],[150.95032,-33.73859],[150.9503,-33.73876],[150.94981,-33.73895],[150.9471,-33.74093],[150.94687,-33.74095],[150.94592,-33.73935],[150.94235,-33.73103],[150.94268,-33.73054],[150.94795,-33.72904],[150.94758,-33.7278],[150.9529,-33.72637],[150.95532,-33.73191],[150.95684,-33.73141],[150.95699,-33.73173],[150.95664,-33.73266]]","07/31/2016 - 08/28/2016, Every day, Daily Average",2211,1817,2689
"1844","Sydney - Haymarket - The Rocks (1844)","[[151.20528,-33.86874],[151.20604,-33.86868],[151.20631,-33.87084],[151.20553,-33.87088],[151.20528,-33.86874]]","1409","West Pennant Hills (1409)","[[151.02999,-33.75228],[151.0315,-33.75317],[151.03227,-33.75335],[151.03384,-33.75424],[151.03439,-33.75431],[151.03647,-33.75428],[151.03912,-33.75368],[151.04083,-33.75384],[151.04406,-33.75307],[151.04784,-33.75296],[151.04766,-33.75424],[151.04853,-33.75669],[151.04894,-33.75864],[151.0349,-33.7609],[151.03471,-33.76102],[151.03499,-33.76226],[151.03178,-33.76277],[151.03186,-33.76311],[151.03091,-33.76325],[151.03041,-33.76307],[151.02983,-33.76308],[151.02919,-33.76344],[151.02782,-33.75709],[151.02817,-33.75646],[151.02865,-33.75631],[151.02847,-33.75548],[151.02933,-33.75373],[151.02966,-33.75338],[151.0296,-33.75318],[151.03006,-33.75305],[151.02999,-33.75228]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1498,1167,1921
"1844","Sydney - Haymarket - The Rocks (1844)","[[151.20528,-33.86874],[151.20604,-33.86868],[151.20631,-33.87084],[151.20553,-33.87088],[151.20528,-33.86874]]","1411","West Pennant Hills (1411)","[[151.02999,-33.75228],[151.02989,-33.75217],[151.03017,-33.75188],[151.03021,-33.75146],[151.02912,-33.75038],[151.02935,-33.75022],[151.03668,-33.74902],[151.03844,-33.74887],[151.03644,-33.73985],[151.03685,-33.73959],[151.04044,-33.74042],[151.04292,-33.74195],[151.04604,-33.7429],[151.04695,-33.74336],[151.04776,-33.74413],[151.0483,-33.74495],[151.04905,-33.74698],[151.04985,-33.74804],[151.04931,-33.74914],[151.049,-33.75113],[151.04784,-33.75296],[151.04406,-33.75307],[151.04083,-33.75384],[151.03912,-33.75368],[151.03647,-33.75428],[151.03439,-33.75431],[151.03384,-33.75424],[151.03227,-33.75335],[151.0315,-33.75317],[151.02999,-33.75228]]","07/31/2016 - 08/28/2016, Every day, Daily Average",1665,1278,2167
